	text	labels	title
11	"na rogu South Miami i 1. Ulicy.
Dajcie pomoc!
Uwaga!
Zginął policjant.
Kod 3.
Zgłaszajcie się.
Zginął policjant.
Potrzebne posiłki."	0	Bad Boys
12	"Śmigłowiec nr 3.
Sprawcy nieznani.
Panowie, droga wolna.
LĄDOWlSKO POLlCYJNE
Weszliśmy.
Jesteśmy."	0	Bad Boys
13	"Macie 20 minut.
Cholerne tacos.
Jeszcze 12 minut.
Szybko.
Droga wolna.
Wchodzimy.
Szybciej, jeszcze 6 minut."	0	Bad Boys
14	"Gotów.
Gotowe do odpalenia.
Odpalaj!
Jazda!
Ruszaj!"	0	Bad Boys
15	"Do diabła.
Miałeś miłe sny?
Jesteś okropny.
Liczy się klasa a nie czas.
Ja mam dziś czas a ty klasę."	0	Bad Boys
16	"Chodź.
Wiesz, co?
Nie pamiętam, kiedy ostatnio
razem zasnęliśmy.
Kochanie.
Taką mam pracę."	0	Bad Boys
17	"Nic nie poradzę.
Po porannym seksie
jestem lepszym gliną.
Rześko się czuję.
Przykryj się.
Biegną nasze pociechy.
Jesteś oziębła."	0	Bad Boys
18	"Odtrącasz mnie jak psa.
Cześć, synku!
- Tato!
- Co się stało?
W szkole się ze mnie śmieją.
Mówią, że mam duże uszy.
Też mam spore.
Ale wiesz, co?"	0	Bad Boys
19	"Dzięki nim
słyszę ludzkie problemy.
Jesteś aniołkiem.
A to twoje skrzydła.
James, stój!
Przestań jeździć.
Pójdę do szkoły
i aresztuję dyrektora.
Nie dam kpić z syna."	0	Bad Boys
20	"- Tu wujek Mike!
- Jak leci?
- Cześć!
- Patrz.
Nie zabieraj mi jedzenia!
Nie! Ciekawe kogo
wczoraj całowałeś!
Miałeś randkę?"	0	Bad Boys
21	"Czy miałem?
Dziewczyna była...
Nie opowiadaj mu tych świństw.
Świństwa opowiadam
tylko twojemu mężowi.
Zabraniam.
Zepsujesz mi go."	0	Bad Boys
22	"Nie rób mi tego.
Dzieci słuchają.
Jasne?
Dzięki.
- Wcinaj.
- Nie ma sprawy.
Mówi Mike.
Chciał pan powiedzieć:
""Proszę, ruszcie swoje dupy""."	0	Bad Boys
23	"A może nie.
Cześć!
Gdzie Howard?
Szuka was.
Jest w kiepskim humorze.
- Cholera!
- Zrób to, do cholery!"	0	Bad Boys
24	"Witamy w koszmarze.
Widzicie?
Co jest nie tak?
Poznajesz?
Poznajecie te palety?"	0	Bad Boys
25	"Leżały tu srebrne paczki
w kształcie cegieł.
Z czerwonymi nalepkami.
Tyle.
Hera zniknęła!
Nasz superłup.
Wart 100 mln!
- Przepadł!
- Kiepsko."	0	Bad Boys
26	"Powiem ci, jak to ująć:
przejebane!
Właśnie.
Cześć, Alison.
Znacie kpt Sinclair,
asa Wydziału Spraw Wewnętrznych.
Znam cię i wiem,
że to nie komplement."	0	Bad Boys
27	"Jeśli chcecie coś załatwić,
to wyjdziemy.
To należy do moich obowiązków.
Jeden przeciek może wywołać
histerię w mediach.
Nie ma obawy.
Odzyskamy ten towar.
To musiał zrobić ktoś z naszych."	0	Bad Boys
28	"Dowiem się tego.
Wy dwaj się spóźniliście.
To miało wchłaniać
narkotyczne opary?
Świetny patent!
Sprytny.
Podoba mi się."	0	Bad Boys
29	"Nieważne, co sądzi.
Pytam, co widział?
Co wie?
Co robiliście wczoraj?
Oddajcie towar
i jesteśmy zdrowi.
Chcieliśmy,
ale pojawił się problem."	0	Bad Boys
30	"Twoja stara wszystko zużyła.
Przesuńcie się.
O'Fee żyje, ale nic nie wie.
Zabili figuranta, by wyciągnąć
wszystkich z komendy.
Za prawdziwego
ścigałaby ich cała policja."	0	Bad Boys
31	"Wracacie do tej sprawy.
Sanchez, Ruiz, pomóżcie im.
Cicho!
Zaraz.
Przecież to był towar Carrery.
Ktoś zabił go w pudle.
A jego gang?"	0	Bad Boys
32	"To durnie bez polotu.
Ale sprawdźcie ich.
Mieliby uzi.
Poszatkowaliby O'Fee.
Musieli myśleć.
I mieć cojones."	0	Bad Boys
33	"Co to znaczy?
I po miesiącu byś nie zrozumiał.
Nic nie mamy.
O co wam chodzi?
Koleś wiedział, co robi.
Nieźle nas wydymał."	0	Bad Boys
34	"Sprawdźcie,
kto montował wentylację.
- Mróz.
- Jak u twej starej.
To na pewno ktoś z naszych.
Po 72 godzinach
sprawę przejmie FBl.
Wsiądą na nas."	0	Bad Boys
35	"Zawsze potrzebują winnego.
Więc, obciążą nas.
Róbcie, co trzeba.
Byle szybko.
Jojo, nadal mieszasz prochy?
Dosypujesz to i owo?
Nic nie wiem.
Dawno zerwałem z prochami."	0	Bad Boys
36	"Coś wiesz.
Rzuciłem to.
Naprawdę!
Czym teraz kręcisz?
Gumami.
Sprzedajesz opony?"	0	Bad Boys
37	"I nic nie wiesz?
Niewinny Jojo?
Tylko opony.
- Mówisz prawdę?
- Tobie bym nie kłamał.
Prowadź.
SIŁOWNIA BOKSERSKA CONGRESS"	0	Bad Boys
38	"To strata czasu.
Maxie wie dokładnie wszystko.
Maxie!
Wiedziałem, że tu będziesz.
Gdzie możemy pogadać?
W magazynie."	0	Bad Boys
39	"Zachowuj się.
Posłuchaj, znów potrzebuję pomocy.
Nic nowego.
Wpadliśmy w poważne gówno.
Walnęli nam z posterunku...
heroiny o dużej wartości."	0	Bad Boys
40	"Paru wesołków
będzie się chciało zabawić.
- O co ci chodzi?
- Gadasz z wieloma facetami.
Masz na myśli klientów?
Tylko się w nic nie pakuj.
Po prostu zadzwoń.
Czemu nie."	0	Bad Boys
41	"Co ty wyprawiasz?
Ćwiczę refleks.
Żona ci nie daje
i roznosi cię energia. Ćwicz.
Masz coś?
Sanchez mówi,
że wentylację zakładał..."	0	Bad Boys
42	"Manuel Arrona.
W tym tygodniu pracuje
poza domem.
Nie otwiera.
Więc, chodźmy stąd.
Po to tłukliśmy się
do tej dzielnicy luksusu?"	0	Bad Boys
43	"Zajrzyjmy do środka.
O, dobra.
- Potknąłem się.
- Otworzyło się?
Gdy się potknąłem.
Chyba chcą, byśmy weszli.
Popatrzymy."	0	Bad Boys
44	"Halo!
Tu nowi sąsiedzi!
Bez paniki.
Jesteśmy czarni.
Masz za dużo basu w głosie.
Biali się tego boją.
Mów jak oni."	0	Bad Boys
45	"Możemy pożyczyć brązowego cukru?
- Pierdzisz?
- Nie!
To trup.
Jednak ktoś tu jest.
Niech zgadnę."	0	Bad Boys
46	"Sprzedał im schemat wentylacji.
- Obłowił się i przewiózł.
- Właśnie.
Dzwonię do wydziału zabójstw.
Czemu tak reagujesz na trupy?
Wcale nie.
Ja tylko..."	0	Bad Boys
47	"Nie rozejrzymy się?
Ten smród...
Nie spodziewałem się.
Nasz kumpel Arrona lubił hazard.
Głównie wyścigi psów."	0	Bad Boys
48	"- Spłacał spore długi.
- I bukmachera.
Cholera!
Nie machaj nogą trupa!
Przepraszam!
Dzwonię do wydziału zabójstw.
Robię w narkotykach.
Trupy..."	0	Bad Boys
49	"Martwe ręce.
Robaki.
Co z tobą?
Zjadłbyś burritos?
Wleczesz się,
jakbyś woził panią Daisy."	0	Bad Boys
50	"Na pewno sprzedali już towar.
Możemy się teraz usrać.
Już raz dorwaliśmy ten towar.
Obmyśliłeś już plan?
Nie trać wiary."	0	Bad Boys
51	"Zanim coś wymyślimy,
wyleją nas z roboty.
A raczej wszystkich wyleją!
Spokojna głowa!
Mówi się,
że Mike Lowrey ma farta.
Bo to bogaty panicz,
bawiący się w policjanta."	0	Bad Boys
52	"Ja nie mam żadnej kasy.
Bez pracy nie mam kołaczy.
Z innymi jest podobnie.
Z większością.
Więc, bawię się w gliniarza?"	0	Bad Boys
53	"Dla rozrywki?
Zawsze chciałeś być Starsky i Hutch.
Wiesz co?
Mam już dość tych pierdół!
Mam przepraszać za to,
że dostałem spadek?!"	0	Bad Boys
54	"Zawsze chciałem być gliną!
Co dzień
daję z siebie wszystko.
Pierwszy przychodzę
i wychodzę ostatni.
Pieprzę ciebie, ich...
i każdego, kto się mnie czepia!"	0	Bad Boys
55	"- Kocham cię.
- A ja cię pieprzę.
Naprawdę.
Lubię cię.
- Jesteś moim partnerem.
- Spadaj.
Wleczesz się."	0	Bad Boys
56	"- Jak baba.
- Nie dogaduj mi.
Ślimak.
Nie dosrywaj mi,
bo zjadę z urwiska.
Dwie cipy w morzu?
- Tego chcesz?
- Zamknij się."	0	Bad Boys
57	"Moja żona wie,
że nie jestem babą.
Jestem bad boy!
Źli chłopcy, co zrobicie?
Co zrobicie, kiedy po was przyjdą?
Jedynie modelki."	0	Bad Boys
58	"Jest już Max.
Muszę kończyć.
Mam szukać ci nowobogackich?
Może jest ktoś nowy,
kto szasta forsą.
Dzwonił dziś do mnie facet.
Szuka nowych panienek.
Masz czas?"	0	Bad Boys
59	"- Skosisz $2,000.
- Obiecałam Julie.
- Mieszkacie razem?
- Tak.
Weź ją ze sobą.
Jest sexy.
Nie jest dziwką.
Nie ważne.
Facet ćpa."	0	Bad Boys
60	"Pewnie mu nie staje.
Może się skusimy.
Może to jego szukam.
Impreza w Biltmore.
Będzie super.
Dzięki."	0	Bad Boys
61	"Przestań.
To ja wiele ci zawdzięczam.
Masz już mnie dość?
Nie.
Miło nam się mieszka.
Z bezrobotną artystką,
która nie umie gotować?
Kiepsko na tym wychodzisz."	0	Bad Boys
62	"Cóż to za goguś
zaprosił cię do Biltmore?
Pomagam Lowreyowi.
Gliniarzowi,
w którym się podkochujesz.
Może trochę.
Ale jesteśmy tylko kumplami.
W razie kłopotów
mogę się do niego zwrócić."	0	Bad Boys
63	"Wiem, wiem, wiem.
Już mi to mówiłaś.
Ty jesteś Max?
Witaj.
Mam na imię Eddie.
Apartament Ala Capone.
Chyba za wcześnie przyszłyśmy.
To Julie."	0	Bad Boys
64	"Lubisz Ala Capone.
Nie zastanawiałam się.
Naprawdę mieszkał tu Capone.
Miał tu mnóstwo
tajemnych przejść.
- Spadamy za 10 minut.
- Za pięć."	0	Bad Boys
65	"- Jeden drink.
- Jeden łyk.
Babskie sprawki.
Gdzie łazienka?
Na górze po prawej.
Uważaj na stopnie.
Chodź.
Siadaj."	0	Bad Boys
66	"Rozgość się.
Wyluzuj.
Mam tu trochę rozweselacza.
Rzeczywiście. Powinienem powiedzieć ci
wcześniej o prywatnej imprezce Eddiego.
A my zrobimy mu niespodziankę.
Max, zostałyśmy tu
o 5 minut za długo."	0	Bad Boys
67	"Nie żałujesz sobie, Eddie.
Musiałem się trochę odprężyć...
po skoku.
Wpadły do mnie przyjaciółki.
Miałem was zaprosić."	0	Bad Boys
68	"Zaprosić?
Przecież to ja stawiam.
Wreszcie znalazłem
brakujące 2 kg.
Razem je zwinęliśmy.
- A to kto?
- Nikt.
Panienka."	0	Bad Boys
69	"- Jestem Max.
- Miło mi.
Lubię kobiety, które potrafią
zadbać o swój wygląd.
A ty?
Nie znoszę flejtuchów.
Wyglądasz jak modelka."	0	Bad Boys
70	"Pokażesz mi, co umiesz?
Bomba!
Zjazd kretynów.
Byłeś gliną.
Wiesz, że dziwki sypią.
Nie mogłeś poczekać,
aż dobiję targu?
Nie będę pracował z głupkami!"	0	Bad Boys
71	"Załatwiłem ci wtykę w policji.
Zorganizowałem ci ludzi.
Są już moi.
Przyjaźnimy się.
- Co wy wyprawiacie?
- Wkurzyłeś go."	0	Bad Boys
72	"Znów mam krew na ubraniu.
Ktoś tam jest!
Łapać ją!
Łapać ją!
Co jest?!"	0	Bad Boys
73	"Zabij ją!
Trafiłem ją.
- Chrzanisz!
- Co ty wiesz o strzelaniu?
Ona żyje.
- Naprawdę.
- Skoczyła."	0	Bad Boys
74	"Kurwa!
Sprawdźcie, dla kogo pracuje
i gdzie mieszka.
Najwyższy czas!
Chodźcie! Patrzcie!
Widzisz tego kolesia?
Nie żyje."	0	Bad Boys
75	"- Poznajesz?
- Eddie Dominguez.
- Były glina.
- Brawo.
Tam jest nasza heroina.
Sinclairowi spodoba się nagłówek.
Ani śladu włamania."	0	Bad Boys
76	"A to?
Całkiem jak w Bejrucie.
Apartament Capone.
Zdarza się.
Zasrany dzień.
Mamy dwa odcienie szminki."	0	Bad Boys
77	"Całkiem zasrany dzień.
Kogoś brakuje.
Słuchaj.
Znalezienie jej
będzie celem twojego życia.
To nasz jedyny ślad."	0	Bad Boys
78	"Posunąłeś ją!
Możemy ich teraz załatwić.
Szukamy dziewczyny.
Nie zadzieraj
z rodziną policjanta.
Nie wkurza cię to?"	1	Bad Boys
79	"Nie prowokuj mnie. Wysiadaj.
Odbiło ci!
Nic mnie nie łączy z Theresą!
Pracujemy razem 6 lat,
a przyjaźnimy się...
od zawsze.
Ale wymyśliłeś!"	1	Bad Boys
80	"Co za kretyński pomysł!
To ja!
Co ci odbiło?!
Kurwa.
Ja tylko.
Wszystko gra!"	1	Bad Boys
81	"Wynoś się stąd! Gdzie Julie?
Przykułem ją do kierownicy.
Chcesz spieszyć sprawę?
żona mi nie daje.
Bez seksu
człowiek dostaje świra."	1	Bad Boys
82	"- Moja wina.
- Spoko.
Idź już.
Ktoś dzwonił stąd
do klubu ""Piekło"".
Wyjaśnij to.
Mówię ostatni raz.
Podaj to cholerne nazwisko!"	1	Bad Boys
83	"- Znam tylko nazwisko.
- Mów.
Długo posiedzisz.
Fouchet.
Chyba.
To jest jego całe imię?
Ja tylko sprzątam."	1	Bad Boys
84	"Zaraz się rozzłaczę.
Naprawdę.
To była moja pierwsza fucha.
Wstąpiłeś do związków?
Gdybyś jak my...
robiła w terenie,
wiedziałabyś..."	1	Bad Boys
85	"że bywa kiepsko.
Nie chrzań!
Niedługo cię przeniosą.
Niby kto?
Ty?
Póki nie uzyskasz takiej władzy...
nie przychodź tu!"	1	Bad Boys
86	"Powinien ją bzyknąć.
Mam już dość.
Ty?
Psy są przekarmione, leniwe.
Załóżcie kamery.
Nie pogarszaj sytuacji!"	1	Bad Boys
87	"Miło cię widzieć, Jojo.
Ciągle wpadasz w kłopoty.
Cześć, Julie.
Co słychać?
Nic, właśnie siedzę w kajdankach.
Kto może podrasować heroinę?"	1	Bad Boys
88	"Szybko i sprawnie.
Ja robię teraz w gumie.
Jojo, my nie żartujemy.
Ja już nie kręcę.
Pracuję legalnie."	1	Bad Boys
89	"Aż do bólu.
To kupa towaru.
Kto ją szybko przemieli?
Przemieli?
Na co?
Mam już tego dość.
- I co będzie, Jo?
- Mierzysz we mnie?"	1	Bad Boys
90	"Jesteście glinami!
Przykabluję na was.
Pokażą was w TV.
Załatwię go!
Mam aż 15 kul.
Zacznij gadać,
bo cię nimi nafaszeruję."	1	Bad Boys
91	"To tylko nędzny ćpun.
- Nie warto.
- Ty też?
Rozwalić cię?!
Trudno.
Sam sobie radź."	1	Bad Boys
92	"- I co?
- Słuchaj...
jak go rozwalisz,
nic nam to nie da!
Kurwa mać! Nie chcę siedzieć
za Jojo oponiarza!
Nie poplam mi ciuchów jego
mózgiem, bo będą śmierdzieć!
Dobra, powiem.
Ale wiem bardzo mało."	1	Bad Boys
93	"- Gadaj!
- 3 facetów.
Mają laboratorium.
Nie.
Dwóch! Jeden zginął
w katastrofie lotniczej.
Powiedz więcej!
Nie, jest tylko jeden.
Naprawdę."	1	Bad Boys
94	"Nie kłam.
Ten koleś to Einstein,
po studiach...
jajogłowy skurwiel.
Okularnik.
Ma dzianych starych.
Gdzie mieszka?"	1	Bad Boys
95	"Powiem.
Serio?
Chcę pomóc. Opuść lufę.
Mam adres...
w...
biurze."	1	Bad Boys
96	"Dzięki.
Przyniesiesz?
Tak.
- Idź.
- Teraz?
Jak najbardziej.
Firma stawia."	1	Bad Boys
97	"Wybierzcie sobie jakieś opony.
To prezent.
Już myślałem,
że mnie zastrzelisz.
Chciałem.
Kiedy ten chemik wróci do domu?
To obserwacja z ukrycia?"	1	Bad Boys
98	"Nieciekawa.
Nie jesteście zbyt rozmowni.
Wybacz, że zawiedliśmy twoje...
wysokie oczekiwania.
Zawsze jest taki?
Dlaczego?
Za dużo kofeiny?"	1	Bad Boys
99	"- Za mało seksu?
- Ale ci dogadała.
Wiesz, kto to?
To sam Mike Lowrey.
Król Długa Faja.
Pokaż jej."	1	Bad Boys
100	"Dostałbyś w czoło.
Jest!
Jedziemy!
Jakie mamy szanse?
Pamiętasz ""Piekło""?
Mniejsze."	1	Bad Boys
101	"Wezwij posiłki.
Marynarkę wojenną też.
Zaczekaj.
Sinclair wszystko podsłuchuje.
Liczymy na siebie.
Zanim to zrobimy...
wszystkie ćpuny
będą walić naszą heroinę."	1	Bad Boys
102	"Czym możemy służyć?
Siedziałam w tym gracie
całą noc, mogę też popatrzeć.
To poważna sprawa
a nie ""Aniołki Charliego"".
Niech patrzy, jak chce.
Pewnie! Brakuje tylko,
żeby ją postrzelili."	1	Bad Boys
103	"Mamy gości.
Śledźcie ich. Spokojnie.
Mówcie tylko, gdzie są.
Pościg zakończył się przy rzece.
oto zdjęcia sprzed 2 dni.
Mamo!"	1	Bad Boys
104	"Mówiłaś, że tata jest
w Cleveland. To niemożliwe.
Ale bardzo żałuje,
że go tam nie ma.
Mówię ci, ten Fouchet
to sprytna bestia.
FBl nic na niego nie ma.
Dziś my z nim pogadamy."	1	Bad Boys
105	"Co to?
Więcej mnie już nie zakują.
Dobra psinka.
Przepraszam!
Proszę podać nazwisko!"	1	Bad Boys
106	"Już mnie to wkurza.
Proszę pani!
Gdy wrócicie,
będzie już po wszystkim?
Tak.
Nie martw się.
Będziesz wolna."	1	Bad Boys
107	"Jak ptak.
Wrócisz do dawnego życia.
I żadnych kajdanek.
- Spadam.
- To mój burger warzywny.
- Pośpiesz się.
- Dobra.
O co chodzi?"	1	Bad Boys
108	"Przyszłam zabić męża,
Marcusa Burnetta.
To ten wysoki czy niski?
- Niski.
- Tak myślałam.
To Chet?
Kochanie!"	1	Bad Boys
109	"Jest twój mąż.
Chodź tu.
Wiem, jak to wygląda.
Oglądałaś wiadomości?
Możesz zostawić...
mnie i...
panią Burnett samych?"	1	Bad Boys
110	"Jasne.
Znacie się?
Kochanie.
Wiem... Pozwól...
Jeśli chodzi o mnie,
to noś obrączkę w kieszeni."	1	Bad Boys
111	"Bo ty i twoja panna...
Cholera.
i Mike będziecie tu
bardzo szczęśliwi.
Kochanie!
O, nie!
Widziałam wiadomości."	1	Bad Boys
112	"Bywają tendencyjne.
Nie pokazuj się w domu.
Nie mówił ci,
że wcześniej wracam?
I że mnie tu przywiezie?
Powiedz, co ci mówiłem.
Że tu przyjedziemy..."	1	Bad Boys
113	"Nawet nie będę...
żadnych kłótni.
Głośno mówię...
Powiedzielibyśmy ci...
Nieważne, jak się nazywasz.
Mike, Marcus, Kojak..."	1	Bad Boys
114	"Coś ci powiem...
Jeśli znalazła nas jego żona,
wolę sobie radzić sama.
To...
Wiem, jak to wygląda.
Wybiegam w rozpiętej koszuli."	1	Bad Boys
115	"Mike półnagi.
I ta biała dziewczyna.
Wygląda to na orgię,
Ale nikt się tu nie pieprzył.
żadnych świństw.
Nie jest tak, jak myślisz."	1	Bad Boys
116	"Ona jest ważnym świadkiem.
Naprawdę!
Posłuchaj.
To był rozkaz.
Zaczekaj. Porozmawiajmy.
Proszę cię."	1	Bad Boys
117	"Nie kręć, Mike.
Nie dam ci się już nabrać.
Olewam to!
- Padnij!
- Julie, na ziemię!
911!
911?
Mówi Chet."	1	Bad Boys
118	"Jedź na górę.
Weź to!
Uspokoję ich,
póki nie przyjedziecie.
Kocham cię.
Nie podałem adresu!
Spokojnie. Policja.
Piękne fryzury."	1	Bad Boys
119	"Nie mów, że ci nie pomagam.
Co jest?
Zawsze macie
dobre i złe wieści.
Wiecie, gdzie towar,
ale porwali wam świadka.
Nie łapię!"	1	Bad Boys
120	"Telefon!
Zatrzymam waszą przyjaciółkę,
aż dobiję targu.
I dobiję go.
Właśnie kropnąłem chemika...
bo zawalił termin."	1	Bad Boys
121	"Potem załatwię dziewczynę.
Skurwysyn!
Psychol zabił swojego człowieka.
Jak się nie wycofamy,
zabije Julie.
- Nie teraz!
- Łamiecie przepisy."	1	Bad Boys
122	"Wkrótce zamknę tę sprawę!
Wywołałeś wojnę.
Wreszcie mogę was usadzić.
Odbieram sprawę.
Ten facet
nie pozostawia mi wyboru.
Dziewczyna nie może zginąć."	1	Bad Boys
123	"Niech gada, co chce,
nie poddamy się.
Sprzedadzą towar za 4 godziny.
Macie ich znaleźć za dwie.
Musi wam się udać.
Róbcie, co trzeba."	1	Bad Boys
124	"Mówiłeś, że pójdzie ci to
dużo szybciej.
To nie takie proste.
Sami tego nie zrobicie.
Wyczaruj coś.
Jesteś hakerem.
Czego chcesz!
To jest nielegalne.
Siedziałem za to."	1	Bad Boys
125	"- Odwal się.
- Posadź tę swoją chudą dupę...
bo, że tak powiem,
znokautuję cię!
O co ci chodzi?
- Siadaj.
- Miałem wyjść z paki.
Wyjdziesz."	1	Bad Boys
126	"Gliny to tępaki.
Obiecałeś mnie wyciągnąć.
Eddie Dominguez.
Jest.
Narzeczona?"	1	Bad Boys
127	"To był Sylwester.
Mój były chłopak, Eddie...
i ten Francuz...
zrobili mi okropne zdjęcia.
Powiedzieli...
że wywieszą je
w szkole moich dzieci..."	1	Bad Boys
128	"jeśli nie zostanę ich wtyczką.
Ale nie powiedziałam im o was...
ani o dziewczynie.
Porwali ją.
Musimy ich dopaść.
Inaczej zginie.
Jak się kontaktowaliście?"	1	Bad Boys
129	"Mam numer ich komórki.
Przepraszam.
Wynagrodzę ci to.
Zrobię wszystko.
Nie ma czasu.
Masz seksowne uszka."	1	Bad Boys
130	"Mogę polizać.
Jest Romeo?
Jaki Romeo, ty kretynie?
Z czego się śmiejesz?
Dzięki komórce
możemy ich namierzać."	1	Bad Boys
131	"Póki są w ruchu.
Sygnał jest ciągle silny.
Chodź.
Dzięki.
Lucy była gwiazdą.
Zastanów się."	1	Bad Boys
132	"Lucille Ball była dziwką.
- Desi wszystkim kręcił.
- Co za pomysł?
Jak to?
Bez bongosów był niczym.
To były conga!"	1	Bad Boys
133	"Co jest?
Cześć, gryzipiórki.
Jesteśmy w drogówce?
Nie. Zabieramy was
na prawdziwą akcję.
Możecie zginąć."	1	Bad Boys
134	"Idziemy.
Tu Conrad.
Mam u ciebie dług.
Jedą w kierunku 135. Ulicy.
Na północny wschód.
Zwolnij mnie,
jeśli nie mam racji."	1	Bad Boys
135	"Oto czego potrzebuję...
Komandosów, helikopterów
i wszystkich wozów.
Tylko nie wiem, gdzie.
Ładna bryka.
Pewnie.
Moja zabaweczka."	1	Bad Boys
136	"Biorę ją do mojej kolekcji.
A co z przelewami?
Dwa telegraficzne
do waszych banków...
na sumę 180 mln dolarów.
I 20 mln gotówką."	1	Bad Boys
137	"Cholera.
Zasrany tydzień.
Sygnał namierzony.
Jesteśmy na lotnisku.
Pewnie są w starych hangarach."	1	Bad Boys
138	"Proszę potwierdzić wpłatę.
90 mln. Geldersbank. Zurich.
Ciężko.
Olać posiłki.
Wchodzimy.
Jasne."	1	Bad Boys
139	"Swędzi?
Mogę podrapać.
- To podraz.
- Jak sobie życzysz, suko.
Co studiowałeś?
Dzięki.
- Na pewno wkraczamy?
- Tak!"	1	Bad Boys
140	"- Zakasuj rękawy.
- Ja zawsze mam nosa.
Pierwszorzędny towar.
Przyjemnie robić z panem interesy.
Cholera.
To pułapka!
Jak zginę, to cię zajebię!"	1	Bad Boys
141	"Otwieraj się!
Szybciej!
A karta pokładowa?
Skurwysyny!
Co jest?"	1	Bad Boys
142	"Cholera.
Jedź!
Wsiadaj!
Wsiadaj, Mike!
- Do wozu!
- Zaraz wybuchnie!"	1	Bad Boys
143	"Złap gnoja, postrzelił mnie.
Mnie też!
Ja się tylko zderzyłam
z wielkim facetem.
Kradnie nam towar...
porywa Julie...
i strzela do mojej żony.
Spuścimy mu łomot!"	1	Bad Boys
144	"Marcus, chcę cię o coś spytać.
Zostawiłeś mnie,
by wrócić po auto?
Zamknij się, niech prowadzi.
Po postrzale lepiej jeździsz.
Masz prawo milczeć."	1	Bad Boys
145	"Cokolwiek powiesz,
będzie użyte przeciwko tobie.
- Co gadasz?
- Mam to z głowy.
Do dechy!
Ma szybszy wóz.
Nie!"	1	Bad Boys
146	"On albo my.
Nie popuszczę.
Musisz wygrać!
To się nazywa kierowca!
Teraz tylko tak masz jeździć!
Stój!"	1	Bad Boys
147	"Nie warto.
Stój!
Rano chyba nie wiedziałeś...
że o 17:00 będziesz miał
dziurę w nodze.
Nie umiesz mnie zabić,
tchórzu."	1	Bad Boys
148	"Umiem.
To nie koniec.
Łapię oddech.
Rozumiem, co czuje snajper.
Strzelanie w biegu, z daleka,
to nie to.
Lepiej...
Zrobić to z bliska."	1	Bad Boys
149	"O to właśnie chodzi.
Zrób to.
Odsuń się!
Śmiało!
Strzel!"	1	Bad Boys
150	"To koniec.
Farsa.
On jest śmiechu warty.
Mówiłem ci, że cię kocham?
Zawsze się rozklejasz
po strzelaninie."	1	Bad Boys
151	"Bo żyjemy.
Cholera.
Ja też cię kocham.
Nie patrz tak.
Powiedziałem, że cię kocham.
Przyjacielu!"	1	Bad Boys
152	"Raczej bracie.
A kim ja jestem?
Julie, skarbie.
Jesteś niebezpieczna.
Przyciągasz kule jak magnes."	1	Bad Boys
153	"Ale jesteś OK.
Kumasz.
I co dalej?
Widzisz...
dalej nic już nie będzie."	1	Bad Boys
154	"Chciałaś Mike'a...
to go masz.
Tutaj.
To jest Mike.
Mike Lowrey.
Ja wracam do żony.
Zrobię to z klasą.
Nie wygłupiaj się."	1	Bad Boys
155	"Oberwałem dziś trzy razy.
Nie potrzebuję pomocy.
Odczep się.
Po co wracasz do żony?
I tak ci nie stanie.
Marcus?
Masz kluczyk?
To Mike wciągnął mnie
w tę strzelaninę."	1	Bad Boys
